Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
WIL-LEE-364-12,x0072,1,COC1CC2=CCC=NC2CC1OS(=O)(=O)[O-],CS(O)(O)NCCC1CCCCC1,0.4056809068254785,0.11655784680573016
LON-WEI-b8d-39,x0072,1,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,CS(O)(O)NCCC1CCCCC1,0.4345412829014529,0.17650485162300028
DAR-DIA-cab-4,x0104,0,COc1cc(C2CN(C(=O)CCl)Cc3ccccc32)c2[nH]cc(CCNC(C)=O)c2c1,CC(O)NCCC1CNC2CCC(F)CC12,0.48497323586486507,0.1333852129802698
WIL-LEE-1f7-2,x0678,0,CC(=O)NCc1cscc1C1CCCC1C(N)=O,OC(CC1CCCCC1)NC1CCCNC1,0.48929564487834887,0.12009515031539728
BAR-COM-4e0-2,x0107,0,Nc1nnnn1-c1cccc(C(=O)Nc2c(-c3cccnc3)nc3ccccn23)c1,CC(O)NC1CNCCC1C,0.4697835292841671,0.13505176753018838
DAV-CRI-25b-3,x0967,1,CC(=O)NC(C#CC(NC(=O)CCl)c1cccc(Cl)c1)c1ccc(O)cc1,CC(O)NC(CC1CCC(O)CC1)C(O)NCCCBr,0.5017090925237185,0.13450310644400737
BEN-VAN-d8f-8,x0946,1,CCc1c[nH]c2c(Oc3cc(Cc4ccn[nH]4)ccn3)cc(F)cc12,NS(O)(O)C1CCC(Br)CC1,0.40822989379755925,0.05776996619843515
DAV-CRI-14a-4,x0946,0,Cc1cc(-c2cc(Cl)cc(C(C)NC(=O)CCl)c2)ccc1S(N)(=O)=O,NS(O)(O)C1CCC(Br)CC1,0.6591612775074949,0.13018695655108764
EMI-TU -a58-5,x0434,1,O=C([O-])CCCN(C(=O)Nc1cccnc1)c1ccccc1,OC(NC1CCCCC1)NC1CCCNC1,0.47214796431520945,0.12429605964601473
SIM-DE -284-3,x0107,1,CN1CC[NH+](CCC(=O)Nc2cccnc2CNC(=O)NC2CC2)CC1,CC(O)NC1CNCCC1C,0.4241013871662325,0.1135591402806158
MED-UNK-e6e-8,x0678,1,O=C(CC1CCCCC1)Nc1cccnc1-c1cc2ccccc2o1,OC(CC1CCCCC1)NC1CCCNC1,0.38341406521768756,0.10289935591905619
ANT-DIA-b7f-8,x0072,1,CCNc1ccc(C#N)cc1CCNS(C)(=O)=O,CS(O)(O)NCCC1CCCCC1,0.4492080020333277,0.14071884482092512
ROB-UNI-b2e-1,x0072,1,CCNc1ccc(C#N)cc1CCNS(C)(=O)=O,CS(O)(O)NCCC1CCCCC1,0.4492080020333277,0.14071884482092512
JAN-UNI-2e9-2,x0104,0,N#CN=C(Nc1cccnc1)Nc1cncc(C#N)c1,CC(O)NCCC1CNC2CCC(F)CC12,0.5058634315169712,0.06698747506165127
JOH-MSK-1fa-1,x0305,1,N#Cc1ccc2[nH]c(S(N)(=O)=O)cc2c1,CCNC1CCC(CN)CN1,0.5877518718437095,0.09394046989696725
IND-SYN-2c7-2,x0107,1,Cc1ccncc1NS(C)(=O)=O,CC(O)NC1CNCCC1C,0.6091501983751675,0.063673052643874
MED-COV-428-17,x0072,1,O=C(Nc1ccccc1OC1CC[NH+](Cc2ccccc2)CC1)C1CCN(C(=O)CCl)CC1,CS(O)(O)NCCC1CCCCC1,0.4334828757044981,0.15143313956926346
DR.-SHR-2ae-5,x0072,1,CCOc1ccc(C=CC(=O)c2cc(I)cc(I)c2O)cc1,CS(O)(O)NCCC1CCCCC1,0.5222936107258058,0.1444165089368739
SIM-SYN-f15-1,x1386,0,O=C(CCl)N1CC[NH+](C(c2ccccc2)c2ccccc2)CC1,CC(O)N1CCN(CC2CCSC2)CC1,0.5615174827052016,0.16696072703518128
JOR-UNI-61e-10,x0107,0,N#Cc1cccc(N(CC[NH+]2CCCOCC2)C(=O)Nc2cccnc2)c1,CC(O)NC1CNCCC1C,0.4525474219748875,0.1529104722715578
SEL-UNI-49a-2,x0759,0,O=C(CCl)N1C=CC(N(C(=O)CCl)C2C=CS(=O)(=O)C2)=CC1,CC(O)N1CCOC(C2CCC(F)CC2)C1,0.3737140427702844,0.1567258921948751
SEL-UNI-842-3,x0107,1,CC(=O)N(C(=O)NC1CC1)C1=C(C)CCN=C1,CC(O)NC1CNCCC1C,0.7399611750839681,0.10213839080424914
ANT-OPE-a51-1,x0072,1,C[NH+](C)Cc1cc(-c2ccccc2)n(S(=O)(=O)c2cccnc2)c1,CS(O)(O)NCCC1CCCCC1,0.4787938603528036,0.14048282987959868
DUN-NEW-f8c-2,x0072,1,NC(=O)C1CCCN1c1ccccc1C[NH+]1CCN(C(=O)CCl)CC1,CS(O)(O)NCCC1CCCCC1,0.4903773276798371,0.14959211525090305
BAR-COM-4e0-44,x0107,0,CC1CC(C)CN(C(=O)c2ccccc2NC(=O)NCc2ccoc2)C1,CC(O)NC1CNCCC1C,0.47966282123781523,0.1288813979742065
NIM-UNI-534-1,x0107,0,Cc1ncc(-c2cccc(Br)c2)c(=O)n1-c1cccnc1,CC(O)NC1CNCCC1C,0.5314510163334633,0.10725930934464276
BEN-VAN-d8f-2,x0946,1,CCCc1c[nH]c2c(Oc3nccc(C)c3F)cc(F)c(F)c12,NS(O)(O)C1CCC(Br)CC1,0.4554670718220777,0.07487553548388394
JOH-UNI-27a-39,x1334,0,COCCc1cc(Br)sc1C[NH+]1CCN(C(=O)CCl)CC1,CC(O)N1CCN(CC2CCC(Cl)S2)CC1,0.5253061744687227,0.14732915523646414
HEI-REL-0c9-6,x0946,0,CC(=O)N1Cc2ccccc2C(C2CCc3ccc(S(N)(=O)=O)cc3N2C)C1,NS(O)(O)C1CCC(Br)CC1,0.4295163679271097,0.13896654118066817
AGN-NEW-891-7,x0107,0,O=S(=O)(C=Cc1cccnc1)c1cccc(-c2ccc(F)cc2F)c1,CC(O)NC1CNCCC1C,0.44925822530029813,0.105915948399857
DUN-NEW-f8c-6,x0072,1,CC(=O)NCCc1cn(CC(=O)Nc2c[nH]c3ncccc23)c2ccccc12,CS(O)(O)NCCC1CCCCC1,0.4903685047273471,0.13000038963147106
IND-SYN-8f8-2,x0104,0,CN1CCOc2ccc(S(N)(=O)=O)cc21,CC(O)NCCC1CNC2CCC(F)CC12,0.4220572183927273,0.05724768882446629
MIH-UNI-e57-6,x0072,1,Cc1cccc(C(N2CCCOCC2)[NH+]2CCN(C(=O)CCl)CC2)c1,CS(O)(O)NCCC1CCCCC1,0.509551177789245,0.16145769933192203
KUS-THE-322-17,x0946,0,O=C1CN(c2nnc(C3CCC(=O)N3)n2CCc2ccsc2)CCN1,NS(O)(O)C1CCC(Br)CC1,0.44135527605733393,0.08870227687670036
JAN-UNI-2e9-1,x0946,0,N#Cc1cncc(Nc2c(Nc3cccnc3)c(=O)c2=O)c1,NS(O)(O)C1CCC(Br)CC1,0.4205816934402731,0.07421193314867264
BEN-VAN-ed8-11,x0107,0,CCNc1ccc(C#N)c(Cc2cc(OCC(=O)Nc3cccnc3)ccc2Cl)n1,CC(O)NC1CNCCC1C,0.37779151662854965,0.10477482484992359
